# Time (sec),Drain (A),Drain (V)
173.629,0.000558702,2.0
174.089,0.000558788,2.0
174.559,0.000558691,2.0
175.029,0.000558435,2.0
175.489,0.000558457,2.0
175.979,0.000558604,2.0
176.419,0.000558767,2.0
176.879,0.000558933,2.0
177.349,0.000558839,2.0
177.809,0.000558754,2.0
178.279,0.000558871,2.0
178.739,0.000558951,2.0
179.199,0.000558736,2.0
179.689,0.000558858,2.0
180.149,0.000558994,2.0
180.619,0.000558915,2.0
181.089,0.000558974,2.0
181.569,0.000558869,2.0
182.039,0.000559008,2.0
182.449,0.000559074,2.0
182.869,0.000559051,2.0
183.339,0.000558771,2.0
183.739,0.000559094,2.0
184.129,0.000559163,2.0
184.549,0.000559264,2.0
184.959,0.000559316,2.0
185.339,0.000559267,2.0
185.759,0.000559013,2.0
186.179,0.000558832,2.0
186.599,0.000559171,2.0
187.009,0.000559334,2.0
187.419,0.000559033,2.0
187.849,0.000559201,2.0
188.239,0.000559146,2.0
188.659,0.000559496,2.0
189.059,0.000559567,2.0
189.468,0.000559199,2.0
189.868,0.000559441,2.0
190.288,0.00055917,2.0
190.688,0.000559194,2.0
191.098,0.00055905,2.0
191.528,0.000559003,2.0
191.968,0.000559208,2.0
192.398,0.000559126,2.0
192.828,0.000558977,2.0
193.248,0.000558982,2.0
193.678,0.00055918,2.0
194.098,0.000559157,2.0
194.518,0.000559144,2.0
194.958,0.000559229,2.0
195.418,0.000559102,2.0
195.848,0.000559173,2.0
196.268,0.000559365,2.0
196.708,0.000559421,2.0
197.148,0.000559423,2.0
197.548,0.000559301,2.0
197.978,0.000559489,2.0
198.438,0.000559338,2.0
198.888,0.000559425,2.0
199.318,0.000559465,2.0
199.738,0.000559325,2.0
200.148,0.000559443,2.0
200.558,0.000559596,2.0
200.998,0.00055966,2.0
201.428,0.000559905,2.0
201.858,0.000559782,2.0
202.278,0.000559652,2.0
202.708,0.000559649,2.0
203.128,0.000559583,2.0
203.578,0.000559499,2.0
204.038,0.00055954,2.0
204.498,0.00055956,2.0
204.948,0.000559579,2.0
205.488,0.000559794,2.0
205.947,0.000559833,2.0
206.417,0.000559825,2.0
206.847,0.000559685,2.0
207.367,0.000559591,2.0
207.907,0.000559593,2.0
208.357,0.000559618,2.0
208.897,0.000559564,2.0
209.357,0.00055946,2.0
209.797,0.000559858,2.0
210.237,0.000559808,2.0
210.837,0.000559864,2.0
211.327,0.000559822,2.0
211.797,0.00055995,2.0
212.277,0.000559975,2.0
212.807,0.000560057,2.0
213.377,0.000559955,2.0
213.897,0.000559771,2.0
214.367,0.000559864,2.0
214.837,0.000559808,2.0
215.307,0.00056005,2.0
215.747,0.000559992,2.0
216.177,0.000559992,2.0
216.607,0.000560058,2.0
217.027,0.000559945,2.0
217.467,0.000559746,2.0
217.897,0.000560014,2.0
218.327,0.000559832,2.0
218.757,0.000559956,2.0
219.207,0.000559875,2.0
219.627,0.0005597,2.0
220.037,0.000559866,2.0
220.467,0.00055993,2.0
220.917,0.000560057,2.0
221.327,0.000560096,2.0
221.757,0.000559975,2.0
222.196,0.000559961,2.0
222.626,0.000560098,2.0
223.046,0.000559951,2.0
223.486,0.000559891,2.0
223.906,0.000559887,2.0
224.336,0.000559882,2.0
224.776,0.000559945,2.0
225.206,0.000559758,2.0
225.626,0.000559765,2.0
226.066,0.000559759,2.0
226.486,0.000559839,2.0
226.956,0.000559572,2.0
227.376,0.00055936,2.0
227.816,0.000559199,2.0
